date,subject,day1num,day1sum,day1rate,day2num,day2sum,day2rate
2021.10.16,9505868,10673,7562283,79.6,66910,6191341,65.1
2021.10.15,9505868,14556,7551829,79.4,133580,6124432,64.4
2021.10.14,9505868,9609,7536654,79.3,94569,5989111,63
2021.10.13,9505868,9804,7526430,79.2,77503,5893191,62
2021.10.12,9505868,17274,7516070,79.1,110204,5814018,61.2
2021.10.11,9505868,16395,7497044,78.9,28099,5701291,60
2021.10.10,9505868,16395,7480597,78.7,28099,5673019,59.6
2021.10.09,9505868,330,7480266,78.7,15337,5669744,59.6
2021.10.08,9505868,1373,7479069,78.6,15337,5654619,59.4
2021.10.07,9505868,6847,7471415,78.6,200186,5353493,57.4
2021.10.06,9505868,5982,7464613,78.5,138375,5314014,55.9
2021.10.05,9505868,6247,7458216,78.5,95261,5218486,54.9
2021.10.04,9505868,7737,7450028,78.4,146444,5071302,53.3
2021.10.03,9505868,4727,7445243,78.3,41561,5029684,52.9
2021.10.02,9505868,637,7444944,78.3,6422,5023350,52.8
2021.10.01,9505868,21915,7423508,78.1,80525,4942880,52
2021.09.30,9505868,41307,7382559,77.7,156636,4786032,50.3
2021.09.29,9505868,67946,7314953,77,104742,4681112,49.2
2021.09.28,9505868,40336,7274915,76.5,105746,4575154,48.1
2021.09.27,9505868,47035,7228337,76,132787,4442337,46.7
2021.09.26,9505868,78584,7149465,75.2,139274,4302483,45.3
2021.09.25,9505868,4382,7145818,75.2,5363,4297136,45.2
2021.09.24,9505868,58203,7087986,74.6,46721,4250234,44.7
2021.09.23,9505868,111184,6976646,73.4,84966,4164701,43.8
2021.09.22,9575355,107196,6869476,71.7,80540,4083668,42.6
2021.09.21,9575355,5543,6864518,71.7,4188,4079491,42.6
2021.09.20,9575355,1751,6861616,71.7,1378,4076910,42.6
2021.09.19,9575355,4388,6857961,71.6,2230,4074327,42.6
2021.09.18,9575355,3742,6829542,71.3,5585,4074223,42.5
2021.09.17,9575355,71862,6757122,70.6,39944,4034022,42.1
2021.09.16,9575355,123931,6632640,69.3,81868,3951930,41.3
2021.09.15,9575355,121040,6541079,68.3,35198,3898145,40.7
2021.09.14,9575355,75242,6461888,67.4,68849,3825878,39.9
2021.09.13,9575355,121040,6340285,64.4,35198,3790493,38.9
2021.09.12,9575355,169036,6171056,64.4,68468,3721786,38.9
2021.09.11,9575355,3546,6167426,64.4,4917,3716811,38.8
2021.09.10,9575355,60926,6105756,63.8,40766,3675621,38.4
2021.09.09,9575355,123400,5981858,62.5,72243,3603102,37.6
2021.09.08,9575355,91416,5890223,61.5,50641,3552387,37.1
2021.09.07,9575355,73677,5816238,60.7,54596,3497620,36.5
2021.09.06,9575355,111410,5704290,59.6,80167,3417102,35.7
2021.09.05,9575355,145248,5558869,58.1,116052,3300807,34.5
2021.09.04,9575355,1388,5557393,58,1580,3299212,34.5
2021.09.03,9575355,22326,5534916,57.8,42787,3256323,34.1
2021.09.02,9575355,45045,5489715,57.3,113133,3142962,32.8
2021.09.01,9575355,39320,5450266,56.9,88297,3054297,31.9
2021.08.31,9575355,34235,5415837,56.6,94420,2959659,30.9
2021.08.30,9575355,51342,5364255,56,95981,2863236,29.9
2021.08.29,9575355,83424,5280462,55.1,107394,2755524,28.8
2021.08.28,9575355,2697,5276953,55.1,2921,2752565,28.7
2021.08.27,9575355,51398,5224286,54.6,50134,2702208,28.2
2021.08.26,9575355,110086,5111802,53.4,101098,2599571,27.1
2021.08.25,9575355,126823,4994132,52.2,71032,2533738,26.5
2021.08.24,9575355,63242,4929671,51.5,82944,2450543,25.6
2021.08.23,9575355,71407,4856923,50.7,107587,2342494,24.5
2021.08.22,9795426,74785,4780478,48.8,130725,2210777,22.6
2021.08.21,9575355,7449,4771762,49.8,561,2210176,23.1
2021.08.20,9575355,65430,4704843,49.1,26500,2183532,22.8
2021.08.19,9575355,116425,4587049,47.9,66759,2116503,22.1
2021.08.18,5762857,85052,4500520,78.1,57683,2058630,35.7
2021.08.17,5503804,93303,4405330,80,62833,1995627,36.3
2021.08.16,4915812,128626,4273365,86.9,94563,1900836,38.7
2021.08.15,4802523,123845,4149042,86.4,51259,1849485,38.5
2021.08.14,4802523,3875,4145096,86.3,1162,1848314,38.5
2021.08.13,4788775,29755,4115097,85.9,39280,1808837,37.8
2021.08.12,4737032,43931,4070622,85.9,121688,1686971,35.6
2021.08.11,4774960,28270,4041944,84.6,135399,1551492,32.5
2021.08.10,4419973,31041,4010500,90.7,35492,1515914,34.3
2021.08.09,4419959,48625,3961449,89.6,34387,1481476,33.5
2021.08.08,4364248,70831,3890343,89.1,35253,1446195,33.1
2021.08.07,4356536,6105,3884200,89.2,106,1446093,33.2
2021.08.06,4341693,23333,3860574,88.9,8911,1437142,33.1
2021.08.05,4321444,41614,3818469,88.4,30152,1406907,32.6
2021.08.04,4324428,31027,3787227,87.6,25819,1381042,31.9
2021.08.03,4308530,26082,3760901,87.3,23102,1357865,31.5
2021.08.02,4308673,35750,3724642,86.4,20557,1337105,31
2021.08.01,3810055,77877,3646552,95.7,7123,1329967,34.9
2021.07.31,4170013,5674,3640808,87.3,68,1329899,31.9
2021.07.30,4164203,39795,3600688,86.4,4188,1325451,31.8
2021.07.29,4164261,80425,3519568,84.5,13659,1310875,31.5
2021.07.28,4137685,60488,3458804,83.6,7742,1302735,31.5
2021.07.27,4150036,84052,3372307,81.2,8120,1293099,31.1
2021.07.26,4058839,74786,3297521,81.2,9381,1283718,31.6
2021.07.25,4065645,125490,3168908,77.9,14631,1268914,31.2
2021.07.24,4065545,85,3168820,77.9,19,1268896,31.2
2021.07.23,4065798,6610,3162205,77.8,2639,1266249,31.1
2021.07.22,4046086,27951,3134191,77.5,10128,1254560,31
2021.07.21,3943320,31573,3102494,78.7,8022,1245273,31.6
2021.07.20,3939275,31192,3071180,78,6008,1237904,31.4
2021.07.19,3939611,31212,3039867,77.2,8800,1226600,31.1
2021.07.18,3939611,31651,3008122,75.2,9668,1216767,29.8
2021.07.17,3955276,118,3000991,76.1,151,1216426,30.8
2021.07.16,3950821,8953,2998367,75.8,7397,1203490,30.4
2021.07.15,3950821,26086,2972281,75.2,27192,1176298,29.8
2021.07.14,3911307,25026,2946540,75.3,20650,1152859,29.5
2021.07.13,3726883,25553,2922594,78.4,18514,1130848,30.3
2021.07.12,3514797,20140,2902429,82.6,16581,1110216,31.6
2021.07.11,3528530,7439,2896204,82.1,13483,1096845,31.1
2021.07.10,3537117,66,2896137,81.9,222,1096559,31
2021.07.09,3538319,3864,2892191,81.7,8264,1083665,30.6
2021.07.08,3546224,14064,2877851,81.2,20660,1058784,29.9
2021.07.07,3545987,7439,2869885,80.9,13483,1041173,29.4
2021.07.06,3551180,6871,2862693,80.6,11909,1025199,28.9
2021.07.05,3496816,7703,2854873,81.6,12346,1008177,28.8
2021.07.04,3421953,13454,2841244,83,9389,998134,29.2
2021.07.03,3476510,0,2841238,81.7,0,997938,28.7
2021.07.02,3476385,696,2840470,81.7,4139,989375,28.5
2021.07.01,3420685,1588,2838855,83,20529,964356,28.2
2021.06.30,3475794,1642,2837158,81.6,18865,941358,27.1
2021.06.29,3496257,3893,2833050,81,22749,914519,26.2
2021.06.28,3490157,3321,2829341,81.1,22407,887508,25.4
2021.06.27,3484201,3278,2825862,81,21853,865395,24.8
2021.06.26,3484201,0,2825885,81,0,865395,24.8
2021.06.25,3484201,2216,2821282,81,6655,858697,24.6
2021.06.24,3418720,7635,2811191,82.2,22720,835878,24.5
2021.06.23,3470953,6581,2802006,80.7,22040,813666,23.4
2021.06.22,3466857,6694,2792660,80.6,21120,791467,22.8
2021.06.21,3510564,6694,2781609,80.4,21120,770137,21.9
2021.06.20,3511095,4973,2774797,79,21087,747880,21.3
2021.06.19,3511144,66,2774543,79,65,747652,21.3
2021.06.18,3446554,36213,2732982,79.3,7884,739623,21.5
2021.06.17,3430375,90850,2637993,76.9,27755,711572,20.7
2021.06.16,3401641,78339,2554809,75.1,25631,685532,20.2
2021.06.15,3391964,112311,2437954,71.9,57409,627708,18.5
2021.06.14,3371856,122487,2309534,68.5,37687,589320,17.5
2021.06.13,3364373,145519,2163259,64.3,52848,535930,15.9
2021.06.12,3364288,5702,2157602,64.1,2522,533379,15.9
2021.06.11,3353331,82931,2070561,61.7,28724,504526,15
2021.06.10,3338670,165265,1900981,56.9,55544,448684,13.4
2021.06.09,3102614,148732,1746392,56.2,68440,380200,12.3
2021.06.08,3034302,104841,1636992,53.9,3076,377030,12.4
2021.06.07,3018205,131465,1500832,49.7,4672,372339,12.3
2021.06.06,2286469,158842,1341990,58.7,5412,366927,16
2021.06.05,2282866,463,1341398,58.8,0,366926,16.1
2021.06.04,2275616,31613,1309610,57.5,1135,365789,16.1
2021.06.03,2265073,76685,1232478,54.4,10339,355399,15.7
2021.06.02,2249314,66402,1165736,51.8,8383,346936,15.4
2021.06.01,2231513,73063,1092306,48.9,6277,340624,15.3
2021.05.31,2215425,103600,988327,44.6,7109,333469,15.1
2021.05.30,2195709,75387,912517,41.6,8127,325079,14.8
2021.05.29,2196518,950,911559,41.5,0,325079,14.8
2021.05.28,2188641,33824,877710,40.1,3843,321446,14.7
2021.05.27,2175217,105089,772541,35.5,17084,304336,14
2021.05.26,1129593,122034,650432,57.6,13061,291118,25.8
2021.05.25,1123393,10780,639483,56.9,16175,274749,24.5
2021.05.24,1124159,7748,631695,56.2,21010,253528,22.6
2021.05.23,1123388,7688,623942,55.5,21524,231821,20.6
2021.05.22,1122778,0,623941,55.6,0,231820,20.6
2021.05.21,1121838,2478,621463,55.4,4100,227493,20.3
2021.05.20,1123023,2271,619017,55.1,28449,198625,17.7
2021.05.19,1121981,2205,616705,55,22755,175445,15.6
2021.05.18,1120058,14,616699,55.1,3724,171720,15.3
2021.05.17,1122759,2983,613630,54.7,16649,154898,13.8
2021.05.16,1119118,3197,610403,54.5,13074,141769,12.7
2021.05.15,1118166,0,610338,54.6,0,141769,12.7
2021.05.14,1118491,1021,609382,54.1,3796,137973,11.2
2021.05.13,1113909,3827,604185,54.2,12751,125220,11.2
2021.05.12,1116796,3391,600548,53.8,12435,112781,10.1
2021.05.11,1114297,1617,598266,53.7,13970,98810,8.9
2021.05.10,1113580,2796,594975,53.4,13030,85775,7.7
2021.05.09,1113434,3131,591040,53.1,12457,73295,6.6
2021.05.08,1112095,0,589744,53,0,73003,6.6
2021.05.07,1119900,4044,592073,52.9,2082,70926,6.3
2021.05.06,1108162,11230,574583,51.9,11486,59707,5.4
2021.05.05,1106344,11021,563044,50.9,11715,47940,4.3
2021.05.04,1104738,1788,559605,50.6,1650,46290,4.1
2021.05.03,1102593,20592,540404,49,4665,41624,3.8
2021.05.02,1101302,19795,520200,47.2,5033,36591,3.3
2021.05.01,1100067,491,519845,47.2,0,36591,3.3
2021.04.30,1096899,6655,511162,46.6,691,35900,3.3
2021.04.29,1084245,38789,472376,43.6,4280,31620,2.9
2021.04.28,1088155,33484,438269,40.2,3921,27699,2.5
2021.04.27,1080433,31795,403093,37.3,2062,25631,2.4
2021.04.26,1079832,26585,379120,35.1,3725,21910,2
2021.04.25,1023346,23323,350631,34.2,3411,18513,1.8
2021.04.24,1023346,200,350427,34.2,0,18513,1.8
2021.04.23,1027740,10195,345764,33.6,119,18376,1.8
2021.04.22,1023538,27074,317386,31,2479,15901,1.6
2021.04.21,1019322,22501,291857,28.6,2358,13543,1.3
